Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1
0,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1
1,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1
1,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1
1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1
1,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,1,1
1,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,1
0,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1
1,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,2
1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,1
1,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,3,1,2,1
0,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1
0,2,18,4,0,1056,1,5,3,3,3,3,1,30,3,2,2,3,1,1,1
0,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,3,2,1,1
1,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1
0,1,24,1,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1
0,1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,1,1,1
1,4,6,4,0,250,4,3,2,2,1,2,1,41,1,2,2,2,1,1,1
1,2,48,2,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1
1,4,10,2,1,2848,2,3,1,3,2,2,1,32,3,2,1,3,2,1,1
1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1
1,4,36,4,1,10477,5,5,2,3,1,4,4,42,3,3,2,3,1,1,1
0,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,1,1,1
1,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,1,1,1
1,4,12,2,3,776,1,3,4,4,1,2,1,28,3,2,1,3,1,1,1
1,4,24,4,1,6842,5,3,2,3,1,4,2,46,3,2,2,4,2,2,1
1,1,20,2,2,2212,5,4,4,3,1,4,3,39,3,2,1,3,1,2,1
1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1
1,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,1,1,1
1,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1
1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1
1,4,30,4,3,4530,1,4,4,2,1,4,3,26,3,1,1,4,1,2,1
1,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1
0,1,20,4,0,2235,1,3,4,4,3,2,2,33,1,1,2,3,1,1,2
1,4,24,4,3,2578,4,5,2,3,1,2,3,34,3,2,1,3,1,1,1
1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1
0,2,48,2,3,3060,1,4,4,3,1,4,1,28,3,2,2,3,1,1,1
0,1,48,4,1,6143,1,5,4,2,1,4,4,58,2,3,2,2,1,1,1
0,1,18,2,3,1882,1,3,4,2,1,4,3,25,1,1,2,3,1,1,1
0,2,12,2,2,951,2,2,4,2,1,4,3,27,1,1,4,3,1,1,1
1,2,8,2,3,760,1,4,4,2,3,2,1,44,3,2,1,2,1,1,1
1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2
1,2,39,3,6,11760,2,4,2,3,1,3,4,32,3,1,1,3,1,2,1
1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1
1,1,24,4,3,1231,4,5,4,2,1,4,2,57,3,1,2,4,1,2,1
0,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1
1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,1
1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1
1,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1
1,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1
1,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,1
1,1,42,4,5,3394,1,1,4,3,2,4,3,65,3,2,2,1,1,1,1
1,4,12,2,3,707,1,3,4,3,1,2,1,30,1,2,2,3,1,1,1
1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1
1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,1
1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1
1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1
1,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1
1,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,1,1,1
0,4,36,3,3,4463,1,3,4,3,1,2,3,26,3,2,2,4,1,2,1
0,1,24,2,0,1371,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1
1,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,1
1,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1
1,4,11,2,9,2142,4,5,1,1,1,2,1,28,3,2,1,3,1,2,1
1,4,48,3,3,7238,5,5,3,3,1,3,3,32,1,2,2,3,2,1,1
1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1
0,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1
1,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,1
0,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1
1,4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,1
1,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,1
1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1
1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2
0,1,45,0,9,11816,1,5,2,3,1,4,3,29,3,1,2,3,1,1,1
1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1
1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1
1,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,1,1,1
0,2,48,2,2,9960,1,2,1,2,1,2,3,26,1,2,1,3,1,2,1
1,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1
0,2,36,2,3,2671,2,3,4,2,2,4,4,50,3,3,1,3,1,1,1
0,1,15,2,4,1275,5,3,4,2,1,2,3,24,3,1,1,3,1,1,1
0,2,15,2,0,2631,2,3,2,2,1,4,3,28,3,1,2,3,1,2,1
1,4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1
0,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1
1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1
0,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1
1,1,15,2,2,1845,1,2,4,2,3,1,2,46,3,1,1,3,1,1,1
1,2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1
1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1
1,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1
1,4,42,4,2,4041,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1
1,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,1
1,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,1,1,1
1,4,18,2,2,3422,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
0,4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,1,2,1
1,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1
1,2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1
1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1
0,3,18,2,2,2864,1,3,2,3,1,1,1,34,3,2,1,2,2,1,1
1,2,48,2,3,3979,5,4,4,3,1,1,3,41,3,2,2,3,2,2,1
1,4,24,2,1,5433,5,1,2,2,1,4,2,26,3,1,1,4,1,2,1
0,4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1
0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1
1,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1
1,4,60,4,0,13756,5,5,2,3,1,4,4,63,1,3,1,4,1,2,1
1,2,12,2,2,3017,1,2,3,2,1,1,1,34,3,1,1,4,1,1,1
0,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2
0,1,36,3,6,6887,1,3,4,3,1,3,2,29,2,2,1,3,1,2,1
1,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,1,1
1,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1
1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1
0,1,36,2,2,3446,1,5,4,3,1,2,3,42,3,2,1,3,2,1,1
0,2,18,4,2,1928,1,2,2,3,1,2,1,31,3,2,2,2,1,1,1
1,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,1,1,1
1,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1
0,1,18,2,0,976,1,2,1,2,1,2,3,23,3,2,1,2,1,1,1
1,3,42,0,9,6289,1,2,2,1,1,1,2,33,3,2,2,3,1,1,1
1,1,12,2,2,1858,1,2,4,2,1,1,3,22,3,1,1,3,1,1,1
1,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
0,2,36,2,1,9398,1,2,1,4,1,4,3,28,3,1,1,4,1,2,1
0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,1,2,1
0,1,60,3,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1
0,2,6,1,6,433,4,2,4,2,1,2,2,24,1,1,1,3,2,1,1
0,1,30,2,2,6350,5,5,4,3,1,4,2,31,3,2,1,3,1,1,1
1,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,1,1
0,2,27,4,3,2520,3,3,4,3,1,2,2,23,3,2,2,2,1,1,1
1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1
1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,1
0,4,21,3,9,2580,3,2,4,3,1,2,1,41,1,2,1,2,2,1,1
1,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1
1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1
1,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,1,2,1
0,3,18,2,3,2100,1,3,4,3,2,2,1,37,3,2,1,3,1,1,1
1,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1
1,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1
1,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,1,1,1
1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1
0,1,12,2,3,727,2,2,4,4,1,3,4,33,3,2,1,2,1,2,1
0,1,48,2,0,3931,1,4,4,3,1,4,4,46,3,3,1,3,2,1,1
1,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1
0,1,12,2,0,1372,1,4,2,1,1,3,3,36,3,2,1,3,1,1,1
1,2,24,2,2,3069,2,5,4,3,1,4,4,30,3,3,1,3,1,1,1
1,2,9,2,3,1082,1,5,4,3,1,4,3,37,3,2,2,2,1,1,1
1,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,1,1,1
1,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,1,2,1
1,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,3,1,1,1
1,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1
1,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,1
1,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1
1,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1
1,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1
1,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1
1,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1
0,1,9,2,0,654,1,3,4,3,1,3,3,28,3,2,1,2,1,1,1
1,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1
1,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1
1,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,1,1,1
0,4,15,2,6,4623,2,3,3,3,1,2,2,40,3,2,1,4,1,2,1
1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1
0,4,12,2,2,1123,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1
0,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
0,4,18,2,0,6761,5,3,2,3,1,4,3,68,2,1,2,3,1,1,1
1,2,18,2,3,1301,1,5,4,4,3,2,1,32,3,2,1,2,1,1,1
1,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1
1,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,1
1,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,1,1,1
1,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,1
1,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,1,2,1
0,1,36,2,2,2712,1,5,2,3,1,2,2,41,1,2,1,3,2,1,1
1,1,8,4,10,1164,1,5,3,3,1,4,4,51,1,3,2,4,2,2,1
1,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,1,2,1
1,1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,1,1
1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1
1,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,1,2,1
1,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1
0,2,12,2,3,1331,1,2,2,3,1,1,3,22,3,2,1,3,1,1,1
1,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1
1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1
1,1,20,4,2,4272,1,5,1,2,1,4,2,24,3,2,2,3,1,1,1
0,1,24,1,0,1193,1,1,1,2,2,4,4,29,3,1,2,1,1,1,1
1,4,18,4,3,2238,1,3,2,2,1,1,3,25,3,2,2,3,1,1,1
1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1
1,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1
1,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1
1,4,48,2,3,10222,5,4,4,3,1,3,3,37,2,2,1,3,1,2,1
1,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,1
1,3,12,3,0,2247,1,3,2,2,1,2,3,36,2,2,2,3,1,2,1
1,1,8,4,0,713,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1
1,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,1,2,1
1,4,12,2,3,2279,5,3,4,3,1,4,4,37,3,3,1,3,1,2,1
1,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,2
1,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2
1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1
0,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1
0,1,18,2,3,3190,1,3,2,2,1,2,1,24,3,2,1,3,1,1,1
0,1,12,1,3,626,1,3,4,2,1,4,1,24,1,2,1,2,1,1,1
1,2,18,0,2,3244,1,3,1,2,1,4,3,33,1,2,2,3,1,2,1
1,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1
0,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,1,1,1
0,4,12,4,3,797,5,5,4,2,1,3,2,33,3,2,1,2,2,1,1
1,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1
1,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1
1,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,1,2,1
1,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1
0,4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,1,2,1
1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1
0,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1
0,4,12,2,6,719,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1
1,1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,1,1,1
1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1
1,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2
1,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1
1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1
1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1
0,2,24,2,0,1246,1,2,4,3,1,2,1,23,1,2,1,2,1,1,1
0,1,6,2,6,448,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1
0,4,21,0,0,5003,5,3,1,2,1,4,2,29,1,2,2,3,1,2,1
0,1,12,2,3,709,1,5,4,3,1,4,1,57,3,2,1,2,1,1,1
1,2,18,4,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,1,1,1
1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2
0,1,12,2,2,1282,1,3,2,2,1,4,3,20,3,1,1,3,1,1,1
1,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,1,1,1
0,2,45,4,3,4746,1,2,4,3,1,2,2,24,1,2,2,2,1,1,1
1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1
0,1,18,2,2,2473,1,1,4,3,1,1,3,25,3,2,1,1,1,1,1
1,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,1
1,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1
1,1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1
0,1,24,2,0,4817,1,4,2,3,2,3,2,31,3,2,1,3,1,2,1
1,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,1,1,1
0,4,18,2,3,433,1,1,3,2,2,4,1,22,3,1,1,3,1,1,1
0,2,24,2,3,2039,1,2,1,4,1,1,2,22,3,2,1,3,1,2,1
1,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,1,1,1
1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,1
1,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,1
1,4,24,2,1,7814,1,4,3,3,1,3,3,38,3,2,1,4,1,2,1
1,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1
1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1
1,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1
1,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,1
1,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1
1,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1
1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1
0,2,9,4,6,1136,4,5,4,3,1,3,4,32,3,3,2,3,2,1,1
1,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,2,1
1,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1
1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1
0,2,21,2,9,1188,1,5,2,2,1,4,2,39,3,2,1,3,2,1,1
1,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,1,1,1
1,1,6,4,0,609,1,4,4,2,1,3,2,37,3,2,2,3,1,1,1
1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1
1,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1
1,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1
1,4,12,4,3,522,3,5,4,3,1,4,2,42,3,2,2,3,2,2,1
0,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,3,1,2,1
1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1
1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1
1,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,1,1,1
1,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1
0,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1
1,1,13,4,9,1797,1,2,3,3,1,1,2,28,1,2,2,2,1,1,1
0,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1
1,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1
1,4,10,2,0,1418,2,3,3,3,1,2,1,35,3,1,1,2,1,1,2
1,4,24,2,3,1413,1,3,4,4,1,2,2,28,3,2,1,3,1,1,1
1,2,24,2,2,4351,5,3,1,2,1,4,2,48,3,2,1,2,1,2,1
0,1,12,0,3,6199,1,3,4,3,1,2,2,28,3,1,2,3,1,2,1
1,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,1,2,1
1,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,1
0,2,30,4,2,8386,1,4,2,3,1,2,2,49,3,2,1,3,1,1,1
0,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,1,1,1
0,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,1,1,1
1,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1
0,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,1,2,1
1,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1
1,4,6,4,0,2080,3,3,1,4,1,2,3,24,3,2,1,3,1,1,1
1,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1
